,time,avg_packet_len,packet_count,cpu_usage,mem_usage
0,2020-11-26 22:36:14.701968,235,11,0.0,4.548727242630444
1,2020-11-26 22:36:15.722346,263,59,5.9,4.548727242630444
2,2020-11-26 22:36:16.746319,236,64,5.9,4.548727242630444
3,2020-11-26 22:36:17.937653,208,68,6.7,4.548727242630444
4,2020-11-26 22:36:19.022437,187,64,5.5,4.548727242630444
5,2020-11-26 22:36:20.046513,182,63,5.9,4.548727242630444
6,2020-11-26 22:36:21.106032,205,65,5.7,4.548727242630444
7,2020-11-26 22:36:22.108247,188,81,5.0,4.548727242630444
8,2020-11-26 22:36:23.118331,177,75,6.9,4.548727242630444
9,2020-11-26 22:36:24.176637,189,76,5.7,4.548727242630444
10,2020-11-26 22:36:25.198389,197,83,5.9,4.548727242630444
11,2020-11-26 22:36:26.222468,222,61,6.8,4.548727242630444
12,2020-11-26 22:36:27.260359,225,73,5.8,4.548727242630444
13,2020-11-26 22:36:28.302244,223,47,4.8,4.548727242630444
14,2020-11-26 22:36:29.326877,246,63,5.9,4.548727242630444
15,2020-11-26 22:36:30.382482,318,59,5.7,4.548727242630444
16,2020-11-26 22:36:31.406586,256,65,5.9,4.548727242630444
17,2020-11-26 22:36:32.538498,240,64,6.2,4.548727242630444
18,2020-11-26 22:36:33.562607,220,57,6.8,4.548727242630444
19,2020-11-26 22:36:34.642743,238,65,5.6,4.548727242630444
20,2020-11-26 22:36:35.726317,194,68,4.6,4.548727242630444
21,2020-11-26 22:36:36.846283,230,61,6.3,4.548727242630444
22,2020-11-26 22:36:37.870326,223,63,5.9,4.548727242630444
23,2020-11-26 22:36:38.930483,195,69,5.7,4.548727242630444
24,2020-11-26 22:36:40.014941,211,76,5.5,4.548727242630444
25,2020-11-26 22:36:41.042389,191,65,5.8,4.548727242630444
26,2020-11-26 22:36:42.163067,251,67,7.1,4.548727242630444
27,2020-11-26 22:36:43.251504,218,79,5.5,4.548727242630444
28,2020-11-26 22:36:44.339029,305,62,7.4,4.548727242630444
29,2020-11-26 22:36:45.472606,299,67,5.3,4.548727242630444
30,2020-11-26 22:36:46.498223,243,61,7.8,4.548727242630444
31,2020-11-26 22:36:47.538908,193,60,6.7,4.548727242630444
32,2020-11-26 22:36:48.563126,213,59,5.9,4.548727242630444
33,2020-11-26 22:36:49.582480,211,61,7.8,4.548727242630444
34,2020-11-26 22:36:50.606342,340,57,6.8,4.548727242630444
35,2020-11-26 22:36:51.666417,231,70,7.5,4.548727242630444
36,2020-11-26 22:36:52.710333,249,64,6.7,4.548727242630444
37,2020-11-26 22:36:53.742334,219,62,7.8,4.548727242630444
38,2020-11-26 22:36:54.770972,219,60,7.8,4.548727242630444
39,2020-11-26 22:36:55.793013,186,62,6.9,4.548727242630444
40,2020-11-26 22:36:56.847021,205,62,7.6,4.548727242630444
41,2020-11-26 22:36:57.870885,218,58,5.9,4.548727242630444
42,2020-11-26 22:36:58.930450,193,64,6.6,4.548727242630444
43,2020-11-26 22:36:59.982424,204,61,7.6,4.548727242630444
44,2020-11-26 22:37:00.999814,199,75,6.9,4.548727242630444
45,2020-11-26 22:37:02.159656,185,54,7.8,4.548727242630444
46,2020-11-26 22:37:03.187739,195,57,5.8,4.548727242630444
47,2020-11-26 22:37:04.243008,182,64,6.6,4.548727242630444
48,2020-11-26 22:37:05.294280,197,63,6.7,4.548727242630444
49,2020-11-26 22:37:06.318500,187,63,6.8,4.548727242630444
50,2020-11-26 22:37:07.506475,190,66,7.6,4.548727242630444
