,time,avg_packet_len,packet_count,cpu_usage,mem_usage
0,2020-11-27 00:05:46.392066,330,31,0.0,4.893806469979157
1,2020-11-27 00:05:47.444851,349,62,5.7,4.893806469979157
2,2020-11-27 00:05:48.466918,369,59,4.9,4.893806469979157
3,2020-11-27 00:05:49.518187,332,67,5.7,4.893806469979157
4,2020-11-27 00:05:50.574695,377,57,6.6,4.893806469979157
5,2020-11-27 00:05:51.598616,364,60,6.8,4.893806469979157
6,2020-11-27 00:05:52.626153,351,57,6.8,4.893806469979157
7,2020-11-27 00:05:53.716941,338,70,6.4,4.893806469979157
8,2020-11-27 00:05:54.767873,359,61,6.7,4.893806469979157
9,2020-11-27 00:05:55.888877,376,61,4.5,4.893806469979157
10,2020-11-27 00:05:56.974763,354,64,5.5,4.893806469979157
11,2020-11-27 00:05:58.034447,339,67,5.7,4.893806469979157
12,2020-11-27 00:05:59.086293,345,64,7.6,4.893806469979157
13,2020-11-27 00:06:00.142617,375,58,4.7,4.893806469979157
14,2020-11-27 00:06:01.166628,358,60,5.9,4.893806469979157
15,2020-11-27 00:06:02.230196,283,79,5.7,4.893879714473429
16,2020-11-27 00:06:03.278627,401,58,6.7,4.893879714473429
17,2020-11-27 00:06:04.335168,371,68,5.7,4.893879714473429
18,2020-11-27 00:06:05.395414,409,59,4.7,4.893879714473429
19,2020-11-27 00:06:06.478276,344,72,9.2,4.893904129304854
20,2020-11-27 00:06:07.534299,391,59,5.7,4.893904129304854
21,2020-11-27 00:06:08.590371,380,62,6.6,4.893904129304854
22,2020-11-27 00:06:09.651786,331,75,4.7,4.893904129304854
23,2020-11-27 00:06:10.735016,396,66,5.5,4.893904129304854
24,2020-11-27 00:06:11.790287,376,59,6.6,4.893904129304854
25,2020-11-27 00:06:12.824450,349,66,4.8,4.893904129304854
26,2020-11-27 00:06:13.870266,393,59,6.7,4.893904129304854
27,2020-11-27 00:06:14.898365,397,62,5.8,4.893904129304854
28,2020-11-27 00:06:15.986559,389,65,6.4,4.893904129304854
29,2020-11-27 00:06:17.016416,450,58,5.8,4.893904129304854
30,2020-11-27 00:06:18.126681,393,65,3.6,4.893904129304854
31,2020-11-27 00:06:19.150702,372,70,6.8,4.893904129304854
32,2020-11-27 00:06:20.206962,371,61,5.7,4.893904129304854
33,2020-11-27 00:06:21.298646,396,64,7.3,4.893904129304854
34,2020-11-27 00:06:22.350710,397,58,5.7,4.893904129304854
35,2020-11-27 00:06:23.379231,361,63,5.8,4.893904129304854
36,2020-11-27 00:06:24.400122,367,61,4.9,4.893904129304854
37,2020-11-27 00:06:25.424239,385,59,5.9,4.893904129304854
38,2020-11-27 00:06:26.578592,367,67,6.1,4.893904129304854
39,2020-11-27 00:06:27.608484,330,64,5.9,4.893904129304854
40,2020-11-27 00:06:28.765238,381,71,6.9,4.893904129304854
41,2020-11-27 00:06:29.792386,374,62,5.8,4.893904129304854
42,2020-11-27 00:06:30.810873,358,61,5.9,4.893904129304854
43,2020-11-27 00:06:31.990778,382,74,5.1,4.893904129304854
44,2020-11-27 00:06:33.042605,385,57,5.7,4.893904129304854
45,2020-11-27 00:06:34.141620,385,63,6.4,4.893904129304854
46,2020-11-27 00:06:35.218469,344,64,5.6,4.893904129304854
47,2020-11-27 00:06:36.341902,377,65,6.2,4.893904129304854
48,2020-11-27 00:06:37.392343,341,63,5.7,4.893904129304854
49,2020-11-27 00:06:38.451397,376,63,4.7,4.893904129304854
50,2020-11-27 00:06:39.470381,247,68,5.9,4.893904129304854
51,2020-11-27 00:06:40.596140,293,61,5.3,4.893904129304854
52,2020-11-27 00:06:41.620794,334,66,5.9,4.893904129304854
53,2020-11-27 00:06:42.740730,352,75,7.1,4.893904129304854
54,2020-11-27 00:06:43.742844,378,64,6.0,4.893904129304854
55,2020-11-27 00:06:44.818733,363,60,5.6,4.893904129304854
56,2020-11-27 00:06:45.903232,351,71,6.5,4.893904129304854
57,2020-11-27 00:06:46.939825,388,58,5.8,4.893904129304854
58,2020-11-27 00:06:48.049535,347,72,6.3,4.893904129304854
59,2020-11-27 00:06:49.134877,370,68,6.4,4.893904129304854
60,2020-11-27 00:06:50.193193,356,67,7.6,4.893904129304854
61,2020-11-27 00:06:51.215254,337,68,5.9,4.893904129304854
62,2020-11-27 00:06:52.370432,355,71,6.1,4.893904129304854
63,2020-11-27 00:06:53.386205,348,79,6.9,4.893904129304854
64,2020-11-27 00:06:54.478811,343,61,6.4,4.893904129304854
65,2020-11-27 00:06:55.496893,347,80,3.9,4.893904129304854
66,2020-11-27 00:06:56.662399,306,67,7.7,4.893904129304854
67,2020-11-27 00:06:57.742408,319,80,5.6,4.893904129304854
68,2020-11-27 00:06:58.766392,317,72,5.9,4.893904129304854
69,2020-11-27 00:06:59.792530,335,69,4.9,4.893904129304854
70,2020-11-27 00:07:00.815114,298,69,6.8,4.893904129304854
71,2020-11-27 00:07:01.870480,350,64,9.5,4.895613167504543
72,2020-11-27 00:07:02.898953,371,65,5.8,4.895613167504543
73,2020-11-27 00:07:03.985854,367,68,6.4,4.895613167504543
74,2020-11-27 00:07:05.074540,371,62,7.3,4.895613167504543
75,2020-11-27 00:07:06.170685,335,75,6.4,4.895613167504543
76,2020-11-27 00:07:07.214585,364,66,6.7,4.895613167504543
77,2020-11-27 00:07:08.274943,339,69,5.7,4.895613167504543
78,2020-11-27 00:07:09.359738,360,70,5.5,4.895613167504543
79,2020-11-27 00:07:10.421864,348,68,7.5,4.895613167504543
